"","income","sex","age","eduyears","eastwest","socialclass_self","leftright"
"1633",983,"FRAU",37,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1634",1185,"MANN",64,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1635",NA,"MANN",64,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1636",1250,"FRAU",53,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1637",NA,"FRAU",52,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1638",1750,"MANN",44,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1639",1850,"MANN",53,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1640",675,"FRAU",45,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"1641",NA,"MANN",21,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1642",3800,"MANN",52,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1643",300,"FRAU",19,12,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"1644",1000,"FRAU",40,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1645",1734,"MANN",35,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1646",460,"FRAU",72,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1647",NA,"MANN",58,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1648",NA,"MANN",65,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1649",2000,"MANN",23,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1650",3800,"MANN",55,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1651",800,"FRAU",40,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1652",1200,"MANN",63,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1653",2000,"FRAU",27,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1654",1016,"FRAU",73,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","5"
"1655",400,"FRAU",50,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1656",1220,"MANN",78,11,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1657",NA,"FRAU",49,18,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1658",1050,"FRAU",71,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1659",NA,"FRAU",32,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1660",NA,"MANN",55,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1661",1800,"FRAU",72,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1662",1800,"MANN",81,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1663",3800,"MANN",75,13,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1664",4200,"MANN",72,14,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1665",1600,"FRAU",46,17,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1666",404,"FRAU",23,9,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"1667",NA,"MANN",29,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1668",1350,"MANN",60,14,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1669",NA,"MANN",58,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1670",720,"MANN",55,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1671",NA,"FRAU",49,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1672",1600,"MANN",91,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1673",2000,"MANN",60,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1674",890,"FRAU",72,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1675",2300,"MANN",37,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1676",800,"MANN",38,18,"NEUE BUNDESLAENDER","MITTELSCHICHT","8"
"1677",NA,"MANN",72,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1678",NA,"FRAU",49,14,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","9"
"1679",700,"FRAU",42,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1680",750,"FRAU",72,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1681",2000,"FRAU",37,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1682",1800,"MANN",39,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1683",1200,"MANN",77,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1684",300,"FRAU",43,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1685",1000,"FRAU",46,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"1686",NA,"FRAU",68,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1687",NA,"FRAU",63,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1688",NA,"FRAU",56,21,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1689",532,"MANN",38,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1690",597,"FRAU",24,17,"NEUE BUNDESLAENDER","UNTERSCHICHT","4"
"1691",1600,"MANN",29,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1692",NA,"MANN",37,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1693",1800,"MANN",66,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"1694",NA,"FRAU",41,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"1695",2000,"MANN",45,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1696",4000,"MANN",46,21,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1697",360,"FRAU",75,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1698",3500,"MANN",36,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1699",1100,"FRAU",54,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1700",1900,"MANN",59,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1701",1200,"FRAU",55,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1702",2300,"MANN",46,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1703",1500,"MANN",41,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"1704",780,"MANN",68,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1705",NA,"FRAU",53,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1706",2000,"FRAU",77,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1707",930,"MANN",73,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1708",3300,"FRAU",51,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1709",1450,"MANN",78,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"1710",1400,"MANN",64,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1711",720,"MANN",77,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1712",1200,"FRAU",54,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1713",NA,"MANN",64,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1714",1010,"MANN",65,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1715",1200,"FRAU",32,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1716",NA,"FRAU",49,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1717",1100,"MANN",59,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1718",NA,"FRAU",21,10,"ALTE BUNDESLAENDER",NA,"5"
"1719",800,"FRAU",45,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1720",450,"FRAU",38,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"1721",2500,"MANN",52,15,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1722",600,"FRAU",67,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1723",840,"FRAU",38,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1724",1400,"MANN",36,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1725",1200,"MANN",37,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1726",2600,"MANN",59,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1727",1200,"FRAU",40,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1728",1500,"MANN",51,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1729",NA,"FRAU",43,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1730",938,"FRAU",78,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1731",NA,"FRAU",42,19,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1732",3000,"MANN",38,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1733",600,"MANN",61,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1734",1000,"FRAU",69,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1735",3200,"MANN",74,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1736",1100,"FRAU",35,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1737",1370,"FRAU",36,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1738",NA,"FRAU",41,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1739",NA,"MANN",59,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1740",NA,"MANN",69,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1741",NA,"MANN",33,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1742",900,"FRAU",61,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1743",8000,"MANN",65,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1744",1000,"FRAU",45,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1745",1600,"MANN",52,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"1746",1800,"FRAU",53,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1747",2500,"FRAU",67,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1748",1050,"MANN",74,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1749",726,"MANN",66,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1750",2000,"MANN",30,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1751",1100,"FRAU",43,15,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"1752",600,"FRAU",74,8,"ALTE BUNDESLAENDER","UNTERSCHICHT","1"
"1753",1700,"MANN",34,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1754",400,"MANN",54,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1755",1145,"MANN",66,8,"ALTE BUNDESLAENDER","UNTERSCHICHT","5"
"1756",2000,"MANN",55,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"1757",1200,"FRAU",65,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","5"
"1758",400,"MANN",30,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1759",NA,"MANN",58,9,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1760",700,"MANN",24,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1761",NA,"MANN",48,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1762",5000,"MANN",26,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1763",3300,"MANN",77,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"1764",900,"MANN",80,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1765",2000,"FRAU",62,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1766",1200,"FRAU",52,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1767",NA,"MANN",53,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1768",NA,"MANN",46,21,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"1769",300,"FRAU",24,15,"NEUE BUNDESLAENDER",NA,"3"
"1770",345,"FRAU",29,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1771",2050,"FRAU",40,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"1772",400,"MANN",21,14,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1773",1000,"MANN",75,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1774",900,"MANN",72,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"1775",500,"MANN",23,14,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","2"
"1776",1550,"FRAU",26,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1777",564,"FRAU",64,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1778",NA,"MANN",64,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1779",1440,"FRAU",84,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1780",NA,"FRAU",64,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1781",1900,"MANN",54,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1782",5000,"MANN",52,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1783",5000,"MANN",85,17,"ALTE BUNDESLAENDER","OBERSCHICHT","7"
"1784",1700,"MANN",30,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1785",1000,"FRAU",79,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1786",NA,"MANN",59,23,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1787",1800,"FRAU",58,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1788",1300,"FRAU",34,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1789",3400,"MANN",58,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1790",1500,"FRAU",75,18,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1791",1298,"MANN",51,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1792",1000,"FRAU",25,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1793",NA,"MANN",38,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1794",1050,"FRAU",75,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1795",NA,"FRAU",46,10,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"1796",750,"FRAU",76,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","2"
"1797",300,"MANN",40,12,"ALTE BUNDESLAENDER","UNTERSCHICHT","5"
"1798",800,"MANN",68,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1799",900,"MANN",27,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"1800",NA,"MANN",34,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"1801",2000,"MANN",67,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1802",3000,"MANN",66,21,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1803",NA,"FRAU",55,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1804",1600,"FRAU",28,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1805",2200,"MANN",54,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1806",600,"FRAU",62,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1807",1000,"MANN",85,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1808",2640,"FRAU",33,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1809",1100,"FRAU",68,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1810",1350,"FRAU",27,16,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1811",7000,"MANN",54,22,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1812",2100,"MANN",26,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1813",5000,"MANN",87,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","8"
"1814",4000,"FRAU",56,12,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1815",NA,"FRAU",64,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1816",2500,"MANN",40,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1817",4200,"MANN",43,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1818",1200,"MANN",33,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1819",NA,"FRAU",47,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"1820",1600,"MANN",38,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1821",1200,"FRAU",72,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1822",3500,"MANN",51,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1823",2500,"MANN",53,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1824",2700,"MANN",31,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1825",982,"FRAU",67,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1826",1600,"FRAU",48,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1827",360,"FRAU",52,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"1828",2000,"FRAU",57,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1829",NA,"MANN",58,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1830",900,"FRAU",65,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1831",1600,"MANN",69,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1832",NA,"MANN",69,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1833",6000,"MANN",57,22,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1834",3500,"MANN",48,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1835",NA,"FRAU",55,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1836",2500,"MANN",48,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1837",NA,"MANN",24,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1838",NA,"MANN",53,14,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"1839",650,"MANN",63,14,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1840",2000,"FRAU",56,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1841",NA,"FRAU",31,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1842",1500,"FRAU",67,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1843",NA,"FRAU",82,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"1844",1600,"FRAU",51,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"1845",1700,"FRAU",37,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1846",2200,"FRAU",80,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1847",800,"FRAU",56,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1848",NA,"MANN",39,9,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1849",NA,"MANN",22,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1850",NA,"FRAU",20,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1851",1200,"MANN",65,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1852",NA,"FRAU",28,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1853",2000,"FRAU",85,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1854",2600,"MANN",37,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1855",3000,"MANN",59,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1856",200,"FRAU",74,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1857",550,"MANN",18,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1858",NA,"MANN",55,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1859",300,"FRAU",75,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1860",NA,"FRAU",66,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1861",4500,"MANN",54,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1862",NA,"MANN",57,20,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","8"
"1863",750,"MANN",59,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1864",660,"MANN",65,12,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"1865",NA,"FRAU",65,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1866",NA,"MANN",19,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1867",400,"MANN",23,18,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1868",1980,"MANN",56,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1869",2000,"MANN",37,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1870",1400,"FRAU",44,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1871",NA,"FRAU",70,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1872",NA,"MANN",52,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1873",2600,"FRAU",35,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1874",399,"FRAU",26,10,"ALTE BUNDESLAENDER","UNTERSCHICHT","5"
"1875",1200,"FRAU",38,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1876",1600,"MANN",85,6,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1877",590,"FRAU",43,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1878",NA,"MANN",36,19,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1879",NA,"FRAU",30,11,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"1880",966,"MANN",24,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1881",400,"MANN",24,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1882",1500,"FRAU",66,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1883",2000,"MANN",62,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"1884",1000,"MANN",54,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1885",1600,"MANN",79,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1886",4300,"FRAU",58,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","8"
"1887",875,"MANN",51,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1888",NA,"MANN",71,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1889",NA,"MANN",46,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1890",2400,"MANN",33,19,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1891",700,"FRAU",82,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1892",1000,"MANN",25,19,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1893",500,"FRAU",22,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1894",1000,"FRAU",26,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1895",NA,"FRAU",26,19,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1896",NA,"FRAU",68,11,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1897",NA,"MANN",21,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1898",4000,"FRAU",48,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1899",3200,"MANN",70,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1900",1100,"FRAU",64,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1901",200,"FRAU",77,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1902",NA,"FRAU",54,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1903",1550,"MANN",30,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1904",1400,"FRAU",48,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1905",1700,"MANN",74,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1906",440,"MANN",66,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1907",700,"MANN",87,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1908",NA,"MANN",75,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1909",1100,"FRAU",39,NA,"ALTE BUNDESLAENDER","UNTERSCHICHT",NA
"1910",2200,"FRAU",30,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1911",530,"FRAU",78,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1912",NA,"FRAU",39,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1913",2000,"MANN",48,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1914",1300,"FRAU",63,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1915",NA,"FRAU",57,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"1916",NA,"MANN",33,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1917",NA,"MANN",21,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1918",2300,"FRAU",33,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1919",1300,"MANN",65,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1920",1100,"FRAU",54,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1921",1500,"MANN",72,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1922",2500,"MANN",62,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1923",65,"FRAU",18,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1924",1300,"FRAU",42,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1925",380,"MANN",41,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","2"
"1926",3900,"MANN",51,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1927",1900,"FRAU",37,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
